Filename-->,
Mode/Unit-->,
Int.time[ms]-->,45
NrOfAverages-->,10
Smoothing-->,0
Wavelength [nm],
598.088,19.06393107
598.230,7.542238288
598.372,21.94396325
598.514,13.06565746
598.656,8.469106966
598.798,18.44809325
598.940,17.82938301
599.082,9.106065803
599.224,11.73052866
599.366,2.50951569
599.508,24.18562422
599.650,18.24694342
599.792,5.426396351
599.934,17.98850081
600.076,4.976110321
600.218,14.41123642
600.360,11.85567244
600.502,22.4288079
600.644,10.89309905
600.786,10.25509961
600.928,10.22180155
601.070,1.885520613
601.212,2.34338197
601.354,5.455095797
601.496,4.226980501
601.638,-13.55132631
601.780,-3.699888558
601.922,4.653950159
602.064,14.63523916
602.206,7.828806377
602.348,8.791378274
602.490,15.29539481
602.632,-7.892308564
602.774,-12.73377466
602.915,9.369788652
603.057,-5.276473112
603.199,-3.678779609
603.341,18.97553826
603.483,3.287252026
603.625,1.914796727
603.767,2.507700592
603.909,8.735226949
604.050,-0.417452402
604.192,3.205387931
604.334,-3.698750538
604.476,-0.283481003
604.618,0.194360309
604.760,-7.17060631
604.901,18.13398843
605.043,-7.25603065
605.185,-6.862469572
605.327,-11.24432451
605.469,5.07439261
605.611,3.34569469
605.752,-11.63790091
605.894,-2.515626562
606.036,7.370260244
606.178,17.18196028
606.319,-26.25832197
606.461,0.124095839
606.603,-0.223316092
606.745,2.082538443
606.886,-6.797481532
607.028,7.249242728
607.170,8.645788937
607.312,-10.27302865
607.453,11.45154019
607.595,1.697811045
607.737,-22.60403289
607.878,-5.40862783
608.020,6.862105196
608.162,-26.29001727
608.304,0.040515619
608.445,-7.458805747
608.587,-3.471756507
608.729,-5.746052892
608.870,3.22765004
609.012,-0.02619471
609.154,6.386098748
609.295,1.326511961
609.437,-11.04201197
609.578,-27.95374264
609.720,-1.342018074
609.862,-7.439051104
610.003,-1.456027598
610.145,-1.426760668
610.287,-1.241461033
610.428,-18.80516798
610.570,-1.15306688
610.711,-25.92444801
610.853,2.26564716
610.994,-0.109193773
611.136,0.684942433
611.278,-15.10219201
611.419,-1.953054673
611.561,-16.55479228
611.702,-13.08702597
611.844,-19.09989161
611.985,-2.798832936
612.127,-7.671202778
612.268,-21.00207633
612.410,-22.18644487
612.551,-13.42264362
612.693,-16.02149338
612.835,-16.51734571
612.976,-10.45776514
613.118,-31.67762944
613.259,-18.43434674
613.400,-15.36005339
613.542,-9.767648525
613.683,-16.85133547
613.825,-13.18464037
613.966,-6.816776699
614.108,-14.49288673
614.249,-23.03617563
614.391,5.266237547
614.532,-21.2823216
614.674,-16.75190446
614.815,-9.681655116
614.956,-30.53847602
615.098,-3.292886729
615.239,-9.744318408
615.381,-5.982896746
615.522,-29.27177482
615.663,-4.573609752
615.805,-5.802761013
615.946,-7.677042121
616.088,-22.95189225
616.229,-13.35660887
616.370,-21.83490961
616.512,-24.67761723
616.653,-3.222147555
616.794,-23.10920293
616.936,-13.14250786
617.077,-12.81735792
617.218,-23.67175651
617.360,-5.783471848
617.501,-7.646612728
617.642,-20.62561655
617.784,-27.43963233
617.925,-4.255446381
618.066,-20.02320964
618.208,-18.31974364
618.349,-24.65889708
618.490,-6.144899625
618.631,-1.801035733
618.773,-22.07005561
618.914,-22.19289283
619.055,-16.35949659
619.196,1.758654576
619.338,-41.01803667
619.479,-2.656033701
619.620,-2.459012789
619.761,-36.59864397
619.903,-26.98990157
620.044,-17.51505757
620.185,-17.87589806
620.326,-15.21044459
620.467,-18.20689637
620.609,-12.05487737
620.750,-17.78406525
620.891,-21.21976195
621.032,-22.53733184
621.173,-14.15889708
621.315,-22.00977194
621.456,-20.35074201
621.597,-14.42561044
621.738,-29.93260919
621.879,-32.36419488
622.020,-20.02446022
622.161,-9.443743414
622.303,-9.104602141
622.444,-16.76650141
622.585,-17.19702801
622.726,-15.30871925
622.867,-27.42617945
623.008,-17.70689637
623.149,-32.12619166
623.290,-3.548350305
623.431,-14.52675456
623.572,-0.083490159
623.713,-23.03032708
623.855,-26.79575007
623.996,-30.55304247
624.137,-20.50690858
624.278,-25.23444418
624.419,-18.28934478
624.560,-40.98531284
624.701,-24.05143279
624.842,-21.73328762
624.983,-7.550166959
625.124,-36.88300042
625.265,-30.41388905
625.406,-24.26545476
625.547,-27.29642872
625.688,-17.18944239
625.829,-15.37831406
625.970,-32.09930429
626.111,-26.1671679
626.252,-29.64787859
626.393,-28.19116749
626.534,-22.99289283
626.675,-15.80517713
626.815,-22.88645098
626.956,-43.40229558
627.097,-13.53377161
627.238,-13.0952785
627.379,-17.53914251
627.520,-14.32904891
627.661,-20.09576228
627.802,-10.40173268
