Filename-->,
Mode/Unit-->,
Int.time[ms]-->,45
NrOfAverages-->,10
Smoothing-->,0
Wavelength [nm],
598.088,38.09680378
598.230,14.9824504
598.372,18.53583069
598.514,23.15018551
598.656,19.45694573
598.798,29.99938436
598.940,26.17966694
599.082,17.38426166
599.224,16.7485828
599.366,3.091022199
599.508,26.21115737
599.650,15.8304643
599.792,17.88502693
599.934,18.23345969
600.076,23.84279826
600.218,16.74439826
600.360,28.46969784
600.502,24.59520671
600.644,20.50913886
600.786,13.58523991
600.928,16.80935113
601.070,11.13882608
601.212,10.1513643
601.354,15.6852361
601.496,11.76949625
601.638,-6.216150105
601.780,7.295000482
601.922,6.416320245
602.064,37.19660206
602.206,-2.604794812
602.348,20.15576272
602.490,15.44697523
602.632,-0.034685183
602.774,-3.165361503
602.915,4.513740325
603.057,11.06273183
603.199,16.62488487
603.341,18.35834115
603.483,7.39221282
603.625,6.62349714
603.767,-3.234676027
603.909,-1.903410145
604.050,-1.455800343
604.192,8.627470815
604.334,-2.23609128
604.476,-0.923125278
604.618,18.15039825
604.760,6.779677618
604.901,20.05535336
605.043,12.83583679
605.185,3.134433746
605.327,-7.130299103
605.469,7.689425218
605.611,11.98921752
605.752,-7.228911376
605.894,3.769908655
606.036,-3.874130774
606.178,-0.840272713
606.319,-20.90199497
606.461,0.947185922
606.603,7.727257013
606.745,4.444190502
606.886,2.605175745
607.028,10.46830407
607.170,6.161539626
607.312,-10.43051291
607.453,19.40614209
607.595,0.457159591
607.737,-13.46856766
607.878,1.055756612
608.020,4.971094728
608.162,-8.496853447
608.304,-11.97092766
608.445,4.685863829
608.587,-6.489242828
608.729,-6.583682806
608.870,-5.373721421
609.012,4.204952788
609.154,2.923289353
609.295,-13.54262972
609.437,-3.992445946
609.578,-5.426334524
609.720,-6.792452049
609.862,-1.897831821
610.003,-8.764160156
610.145,4.220501721
610.287,-2.708009958
610.428,-7.437472844
610.570,-13.669546
610.711,-21.04164512
610.853,-10.94982479
610.994,-12.82869446
611.136,2.954362789
611.278,-16.14284346
611.419,-6.369533795
611.561,-22.82292676
611.702,-23.90220881
611.844,-21.10500257
611.985,-13.8084013
612.127,-4.504803967
612.268,-9.970499992
612.410,-20.11774254
612.551,-17.61595761
612.693,-16.64703713
612.835,-10.18346591
612.976,1.982446969
613.118,-30.90619475
613.259,-15.54981869
613.400,-17.55538172
613.542,-23.72571125
613.683,-13.21615926
613.825,-17.5920549
613.966,1.000988269
614.108,-12.71914852
614.249,-21.17553065
614.391,-12.8653493
614.532,-21.35419564
614.674,-22.90061335
614.815,-27.59741631
614.956,-26.4133716
615.098,-15.71914852
615.239,-7.230293
615.381,-17.13865589
615.522,-20.68926114
615.663,-3.214979172
615.805,-3.22729758
615.946,-8.321722294
616.088,-17.00060114
616.229,-6.948626542
616.370,-24.73426667
616.512,-19.50618254
616.653,-14.90380411
616.794,-25.62870362
616.936,-5.004599261
617.077,-22.88347812
617.218,-25.78924283
617.360,-10.32311612
617.501,-3.868127757
617.642,-20.71058394
617.784,-10.28229814
617.925,-21.97969377
618.066,-22.70040867
618.208,-31.09363202
618.349,-27.3864552
618.490,7.785240674
618.631,3.526083088
618.773,-25.93588657
618.914,-20.31915462
619.055,-11.07093986
619.196,1.964333391
619.338,-36.54026966
619.479,-9.36416626
619.620,-5.758798695
619.761,-20.26375685
619.903,-22.12450994
620.044,-13.34563721
620.185,-12.65280797
620.326,-7.869943237
620.467,-23.59085656
620.609,-7.595239711
620.750,-33.00759465
620.891,-16.89365033
621.032,-19.5444572
621.173,-7.386455196
621.315,-25.81315774
621.456,-14.03168067
621.597,-20.71057783
621.738,-32.99642578
621.879,-11.41894686
622.020,-18.04165733
622.161,-7.345832777
622.303,-9.753021717
622.444,-26.65679386
622.585,-28.18271337
622.726,-18.71656251
622.867,-32.29503195
623.008,-19.19085656
623.149,-25.59504416
623.290,-3.221520662
623.431,-5.479492176
623.572,-6.923134433
623.713,-21.55860326
623.855,-26.04143744
623.996,-36.76952159
624.137,-17.79086877
624.278,-14.92214394
624.419,-10.44006804
624.560,-35.34884028
624.701,-24.38848424
624.842,-26.25321727
624.983,-23.14722044
625.124,-25.11098719
625.265,-17.77669844
625.406,-20.06020479
625.547,-39.59822879
625.688,-21.11239328
625.829,-40.56299233
625.970,-25.8205302
626.111,-47.01357331
626.252,-29.90939164
626.393,-33.36577401
626.534,-17.71915462
626.675,-32.837482
626.815,-11.61774864
626.956,-50.01517472
627.097,-14.46535845
627.238,-10.02930846
627.379,-18.170151
627.520,-28.51732702
627.661,-11.24144965
627.802,-23.13072677
627.943,-18.48550138
