Filename-->,
Mode/Unit-->,
Int.time[ms]-->,45
NrOfAverages-->,10
Smoothing-->,0
Wavelength [nm],flint spectrum 05 24 2021
598.088,20.71810424
598.230,10.53636405
598.372,8.902412121
598.514,26.68415374
598.656,11.81624943
598.798,19.77331166
598.940,29.75177482
599.082,10.48743612
599.224,10.96246916
599.366,-6.580467834
599.508,22.39984471
599.650,10.4626131
599.792,-7.008432706
599.934,3.3765932
600.076,17.36389419
600.218,-1.314424022
600.360,18.27630648
600.502,17.39642535
600.644,20.11938636
600.786,7.420959393
600.928,4.448777632
601.070,-1.683607777
601.212,12.04705652
601.354,11.62095558
601.496,-3.253074058
601.638,-16.17133352
601.780,-13.43295985
601.922,-5.589738809
602.064,19.58872358
602.206,0.896423819
602.348,13.55334251
602.490,10.64077975
602.632,-11.12996419
602.774,-9.960504015
602.915,4.955054466
603.057,-3.185173949
603.199,-9.106577905
603.341,5.208547751
603.483,-6.917553314
603.625,0.701131527
603.767,-3.429955037
603.909,-14.21128862
604.050,-0.943801626
604.192,2.148634843
604.334,-4.422273191
604.476,-6.432823178
604.618,4.013545338
604.760,-5.448214503
604.901,6.494575278
605.043,6.602418224
605.185,-9.589887722
605.327,-13.22369047
605.469,5.497853343
605.611,3.868466584
605.752,-9.231399782
605.894,-3.094303652
606.036,-11.87304853
606.178,-8.599163206
606.319,-24.41897056
606.461,-6.929830619
606.603,8.01924216
606.745,-5.843810781
606.886,-6.628106399
607.028,6.184009866
607.170,1.451909916
607.312,2.646916787
607.453,0.805404727
607.595,-16.25435773
607.737,-13.90387381
607.878,-16.6466636
608.020,-2.631393679
608.162,-18.70857561
608.304,-2.229681726
608.445,-8.590879806
608.587,-15.95891343
608.729,-21.18974186
608.870,-2.314281293
609.012,-8.157508357
609.154,1.871744708
609.295,-12.62496801
609.437,-23.90228017
609.578,-21.57619613
609.720,-5.002286275
609.862,-14.04209874
610.003,-7.497578724
610.145,-10.41284867
610.287,-18.54695509
610.428,-11.11455766
610.570,-11.3373972
610.711,-19.39143852
610.853,-9.11585656
610.994,-7.002003898
611.136,8.061039678
611.278,-23.55436079
611.419,-3.437384995
611.561,-9.503445681
611.702,-19.74836334
611.844,-21.8329629
611.985,-19.20570443
612.127,-10.60358534
612.268,-10.17089618
612.410,-15.19300786
612.551,-17.64196208
612.693,-14.03126313
612.835,-16.56034597
612.976,-25.76363938
613.118,-27.89587899
613.259,-13.41585046
613.400,-11.28502506
613.542,-14.78803597
613.683,-26.87134268
613.825,-17.24353131
613.966,-3.705002578
614.108,-26.08531662
614.249,-23.96535142
614.391,-7.360491808
614.532,-19.22211502
614.674,-27.52668605
614.815,-24.18332513
614.956,-34.88674928
615.098,-21.28531662
615.239,-18.42368437
615.381,-13.97746458
615.522,-23.95893174
615.663,-8.10843881
615.805,-5.209704145
615.946,-17.84051731
616.088,-26.92667385
616.229,-12.95293432
616.370,-26.97118768
616.512,-24.09586679
616.653,-23.87004054
616.794,-19.80201305
616.936,-15.47420171
617.077,-6.060358175
617.218,-26.85891343
617.360,-15.13281402
617.501,-15.44507606
617.642,-28.50215581
617.784,-13.39745431
617.925,-16.94222313
618.066,-16.69730242
618.208,-21.46519032
618.349,-17.17432003
618.490,-9.179039844
618.631,-0.943655785
618.773,-19.89288942
618.914,-37.18532272
619.055,-26.72969393
619.196,2.736509482
619.338,-32.29916015
619.479,-3.997584828
619.620,-7.657784541
619.761,-29.03881753
619.903,-18.72511073
620.044,-14.03896032
620.185,-23.02982452
620.326,-13.89615229
620.467,-29.78060907
620.609,-18.78687986
620.750,-17.48818181
620.891,-26.56520863
621.032,-31.97605639
621.173,-12.07432003
621.315,-26.65735641
621.456,-20.21597488
621.597,-21.70214971
621.738,-26.84978983
621.879,-18.65593608
622.020,-19.09145072
622.161,-4.068334874
622.303,-10.6592172
622.444,-21.17734004
622.585,-25.15622753
622.726,-15.43010405
622.867,-33.1574931
623.008,-31.28060907
623.149,-17.65750531
623.290,-7.611136683
623.431,-20.61284256
623.572,-16.03283233
623.713,-28.32841035
623.855,-19.46205186
623.996,-37.53737279
624.137,-17.88062127
624.278,-28.09929684
624.419,-16.26977959
624.560,-28.88232706
624.701,-24.854789
624.842,-38.58859175
624.983,-7.460625442
625.124,-31.96091712
625.265,-28.72824308
625.406,-30.95009354
625.547,-27.70085362
625.688,-30.25322612
625.829,-28.63468688
625.970,-7.077601202
626.111,-29.81612981
626.252,-37.23923968
626.393,-25.01927436
626.534,-35.08532272
626.675,-22.61456681
626.815,-9.993013962
626.956,-46.53781336
627.097,-30.06050096
627.238,-15.29015487
627.379,-17.12553905
